City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
itoman,75,Japan,1562384725,88,26.12,26.12,80.6,9.17
hasaki,75,Japan,1562384440,88,35.73,35.73,71.6,12.75
naze,73,Japan,1562384725,97,5.43,5.43,71.69,3.83
wajima,40,Japan,1562384725,69,37.4,37.4,77,8.05
wakkanai,40,Japan,1562384725,72,45.41,45.41,64.4,17.22
kushiro,75,Japan,1562384725,87,43.11,43.11,60.8,13.87
shingu,75,Japan,1562384726,73,33.72,33.72,77,10.29
miyako,40,Japan,1562384726,54,33.63,33.63,84.2,5.82
katsuura,75,Japan,1562384440,69,33.93,33.93,78.8,9.17
poum,0,New Caledonia,1562384726,82,41.28,41.28,57.2,3.36
vao,70,New Caledonia,1562384455,95,59.1,59.1,48.65,4.52
noumea,75,New Caledonia,1562384456,83,-22.28,-22.28,69.8,21.92
pouebo,60,New Caledonia,1562384726,65,-20.4,-20.4,74.93,8.5
leningradskiy,70,Russia Federation,1562384499,52,69.38,69.38,59.81,9.51
nizhneyansk,,Russia Federation,,,,,,
provideniya,0,Russia Federation,1562384420,68,64.42,64.42,59.09,6.4
cherskiy,99,Russia Federation,1562384421,74,68.75,68.75,62.51,8.37
novyy urengoy,17,Russia Federation,1562384727,50,66.08,66.08,60.71,18.97
cheuskiny,,Russia Federation,,,,,,
krasnooktyabrskiy,0,Russia Federation,1562384727,77,44.93,44.93,62.6,2.24
amga,89,Russia Federation,1562384727,87,60.89,60.89,61.43,5.26
nikolskoye,90,Russia Federation,1562384418,93,59.7,59.7,55,6.71
barabinsk,67,Russia Federation,1562384727,75,55.35,55.35,68.27,7.74
tiksi,75,Russia Federation,1562384417,72,71.64,71.64,44.87,7.43
chagda,,Russia Federation,,,,,,
ostrovnoy,100,Russia Federation,1562384333,94,68.05,68.05,47.75,8.28
dikson,0,Russia Federation,1562384419,84,73.51,73.51,36.41,17.67
karaul,,Russia Federation,,,,,,
kadoshkino,96,Russia Federation,1562384728,85,54.03,54.03,55.49,9.48
khatanga,85,Russia Federation,1562384420,53,71.98,71.98,51.71,13.67
komsomolskiy,24,Russia Federation,1562384423,48,67.55,67.55,62.87,18.86
lovozero,100,Russia Federation,1562384728,95,68.01,68.01,50.09,8.63
amderma,,Russia Federation,,,,,,
mys shmidta,,Russia Federation,,,,,,
kurilsk,71,Russia Federation,1562384728,92,45.23,45.23,47.57,14.29
staraya poltavka,0,Russia Federation,1562384729,57,50.48,50.48,64.49,3.67
ozernovskiy,98,Russia Federation,1562384729,97,51.5,51.5,42.89,3.83
chokurdakh,71,Russia Federation,1562384421,47,70.62,70.62,57.29,12.71
severo-kurilsk,84,Russia Federation,1562384332,94,50.68,50.68,42.89,18.92
belushya guba,,Russia Federation,,,,,,
bagdarin,0,Russia Federation,1562384729,32,54.44,54.44,75.65,5.77
nyurba,11,Russia Federation,1562384507,50,63.29,63.29,63.23,6.29
koslan,88,Russia Federation,1562384729,93,63.46,63.46,56.93,2.04
khandyga,87,Russia Federation,1562384730,70,62.65,62.65,60.17,12.68
krasnoselkup,,Russia Federation,,,,,,
saskylakh,100,Russia Federation,1562384327,84,71.97,71.97,41.27,10.98
anadyr,20,Russia Federation,1562384509,81,64.73,64.73,51.8,31.32
artyk,,Russia Federation,,,,,,
yerbogachen,100,Russia Federation,1562384418,85,61.28,61.28,67.55,8.05
eldikan,,Russia Federation,,,,,,
gorno-chuyskiy,,Russia Federation,,,,,,
kysyl-syr,34,Russia Federation,1562384422,79,63.9,63.9,59.81,5.44
aleksandrov gay,0,Russia Federation,1562384730,53,50.14,50.14,65.03,4.34
kamenskoye,,Russia Federation,,,,,,
bilibino,35,Russia Federation,1562384731,29,68.06,68.06,72.95,13.06
khonuu,,Russia Federation,,,,,,
podyuga,73,Russia Federation,1562384731,88,61.09,61.09,50.99,4.92
vanavara,100,Russia Federation,1562384731,65,60.35,60.35,71.15,11.48
muzhi,100,Russia Federation,1562384731,67,65.4,65.4,58.19,17.27
batagay-alyta,100,Russia Federation,1562384731,81,67.8,67.8,44.51,2.59
tilichiki,96,Russia Federation,1562384509,67,60.47,60.47,57.11,9.17
dauriya,66,Russia Federation,1562384732,51,49.93,49.93,59.99,14.5
onega,17,Russia Federation,1562384732,91,63.91,63.91,51.89,3.91
severo-yeniseyskiy,66,Russia Federation,1562384732,60,60.37,60.37,68.45,13.47
kargasok,84,Russia Federation,1562384732,57,59.06,59.06,70.61,10.65
arkhara,100,Russia Federation,1562384732,81,49.42,49.42,74.57,10.54
deputatskiy,100,Russia Federation,1562384732,64,69.3,69.3,55.49,14.97
osa,96,Russia Federation,1562384733,95,57.28,57.28,50.09,9.31
svetlaya,67,Russia Federation,1562384733,59,46.54,46.54,69.71,6.49
skalistyy,,Russia Federation,,,,,,
turukhansk,100,Russia Federation,1562384733,68,65.8,65.8,71.15,7.78
lavrentiya,0,Russia Federation,1562384733,46,65.58,65.58,68.63,6.82
srednekolymsk,100,Russia Federation,1562384428,68,67.46,67.46,62.69,13.76
privolzhye,62,Russia Federation,1562384733,74,52.86,52.86,58.37,3.58
ossora,100,Russia Federation,1562384734,75,59.24,59.24,55.85,6.96
egvekinot,86,Russia Federation,1562384421,85,66.32,66.32,49.01,17
kadykchan,,Russia Federation,,,,,,
tulun,100,Russia Federation,1562384734,97,54.56,54.56,60.17,7.18
loukhi,100,Russia Federation,1562384734,98,66.08,66.08,48.83,9.53
arman,100,Russia Federation,1562384734,63,59.7,59.7,56.21,8.79
staryy nadym,0,Russia Federation,1562384734,46,65.61,65.61,63.05,17.6
erzin,0,Russia Federation,1562384422,69,36.95,36.95,79,17.22
severodvinsk,90,Russia Federation,1562384735,93,64.56,64.56,57.2,4.47
tura,100,Russia Federation,1562384426,94,64.27,64.27,53.69,7.02
aktash,,Russia Federation,,,,,,
beringovskiy,100,Russia Federation,1562384423,64,63.05,63.05,59.27,10.04
oktyabrskoye,20,Russia Federation,1562384735,73,56.73,56.73,69.8,11.18
isilkul,85,Russia Federation,1562384735,89,54.9,54.9,65.21,9.28
khani,0,Russia Federation,1562384423,94,41.96,41.96,68,2.24
ekhabi,100,Russia Federation,1562384735,97,53.51,53.51,50.27,4.94
krasnoborsk,23,Russia Federation,1562384736,92,61.56,61.56,52.61,6.46
orlik,0,Russia Federation,1562384424,81,53.95,53.95,55,5.82
zhigansk,91,Russia Federation,1562384427,68,66.77,66.77,56.03,9.48
marfino,40,Russia Federation,1562384736,93,56.07,56.07,55.4,8.95
seymchan,69,Russia Federation,1562384736,37,62.93,62.93,68.99,10.83
uinskoye,16,Russia Federation,1562384736,91,56.88,56.88,51.71,9.28
pevek,14,Russia Federation,1562384419,68,69.7,69.7,46.13,11.32
udomlya,13,Russia Federation,1562384736,97,57.88,57.88,45.77,5.48
okhotsk,100,Russia Federation,1562384506,89,59.36,59.36,49.01,9.75
veseloyarsk,24,Russia Federation,1562384737,44,51.29,51.29,75.47,4.5
alakurtti,100,Russia Federation,1562384737,95,66.96,66.96,45,5.28
yar-sale,29,Russia Federation,1562384419,47,66.83,66.83,58.55,22.7
koshurnikovo,18,Russia Federation,1562384737,88,54.3,54.3,62.51,6.02
tigil,0,Russia Federation,1562384737,52,57.8,57.8,67.01,12.21
qaanaaq,33,Greenland,1562384431,59,77.48,77.48,41.27,2.17
illoqqortoormiut,,Greenland,,,,,,
narsaq,23,Greenland,1562384431,75,60.91,60.91,46.4,2.24
upernavik,100,Greenland,1562384431,74,72.79,72.79,42.35,9.73
ilulissat,90,Greenland,1562384432,70,69.22,69.22,46.4,1.12
tasiilaq,6,Greenland,1562384430,86,65.61,65.61,41,5.82
qaqortoq,23,Greenland,1562384431,75,60.72,60.72,46.4,2.24
nuuk,75,Greenland,1562384537,57,64.17,64.17,50,4.7
nanortalik,65,Greenland,1562384341,77,60.14,60.14,42.17,6.6
maniitsoq,97,Greenland,1562384432,78,65.42,65.42,43.79,4.68
sisimiut,99,Greenland,1562384537,86,66.94,66.94,40.91,12.33
busselton,67,Australia,1562384532,72,-33.64,-33.64,59,24.11
hobart,20,Australia,1562384532,66,-42.88,-42.88,55.4,6.93
port macquarie,75,Australia,1562384535,87,-31.43,-31.43,64.99,10.29
esperance,90,Australia,1562384533,71,-33.86,-33.86,53.6,19.46
new norfolk,20,Australia,1562384387,66,-42.78,-42.78,55.4,6.93
albany,40,Australia,1562384532,69,42.65,42.65,80.6,10.29
port lincoln,100,Australia,1562384536,70,-34.72,-34.72,62.69,16.51
carnarvon,0,Australia,1562384534,59,-30.97,-30.97,43.43,7.65
port hedland,6,Australia,1562384535,36,-20.31,-20.31,77,14.99
warwick,90,Australia,1562384696,94,41.7,41.7,73.99,5.82
roma,0,Australia,1562384714,83,41.89,41.89,73.99,3.36
kawana waters,,Australia,,,,,,
flinders,90,Australia,1562384536,67,-34.58,-34.58,64.99,8.05
mackay,90,Australia,1562384533,82,53.65,53.65,57.2,5.82
kununurra,0,Australia,1562384744,16,-15.77,-15.77,84.2,14.99
broken hill,33,Australia,1562384535,40,-31.97,-31.97,69.8,19.46
bowen,75,Australia,1562384745,73,-20.01,-20.01,78.01,13.87
ingham,95,Australia,1562384745,76,-18.65,-18.65,70.97,3.22
mount isa,40,Australia,1562384534,56,-20.73,-20.73,71.6,9.17
jabiru,,Australia,,,,,,
cairns,90,Australia,1562384388,65,-16.92,-16.92,79,12.75
nelson bay,90,Australia,1562384745,68,-32.72,-32.72,66.99,11.41
nhulunbuy,0,Australia,1562384533,34,-12.18,-12.18,82.4,10.29
mount gambier,69,Australia,1562384535,63,-37.83,-37.83,62.6,19.46
broome,0,Australia,1562384745,93,52.47,52.47,60.01,3.36
wellington,0,Australia,1562384542,81,-41.29,-41.29,51.8,31.09
ngukurr,,Australia,,,,,,
port keats,0,Australia,1562384746,27,-14.25,-14.25,83.39,5.99
launceston,88,Australia,1562384731,67,-41.43,-41.43,60.01,3.36
nguiu,,Australia,,,,,,
katherine,0,Australia,1562384746,17,-14.47,-14.47,86,11.41
biloela,100,Australia,1562384746,61,-24.4,-24.4,66.65,18.92
murwillumbah,40,Australia,1562384746,64,-28.33,-28.33,69.8,19.46
port augusta,90,Australia,1562384534,49,-32.49,-32.49,69.8,17.22
port elizabeth,1,South Africa,1562384394,94,39.31,39.31,79,6.87
port alfred,4,South Africa,1562384522,55,-33.59,-33.59,57.99,8.01
bredasdorp,38,South Africa,1562384394,87,-34.53,-34.53,53.01,4.7
cape town,75,South Africa,1562384402,76,-33.93,-33.93,55.99,12.75
hermanus,8,South Africa,1562384523,89,-34.42,-34.42,53.01,27.78
kruisfontein,30,South Africa,1562384523,51,-34,-34,49.19,8.86
saldanha,35,South Africa,1562384524,81,41.42,41.42,59.63,2.04
margate,20,South Africa,1562384747,66,-43.03,-43.03,55.4,6.93
east london,0,South Africa,1562384523,53,-33.02,-33.02,46.67,4.99
vrede,0,South Africa,1562384747,96,-27.43,-27.43,33.35,4.34
umzimvubu,,South Africa,,,,,,
lydenburg,0,South Africa,1562384748,93,-25.1,-25.1,48.99,2.01
abalak,100,Niger,1562384748,60,15.46,15.46,81.23,18.07
tanout,100,Niger,1562384748,56,14.97,14.97,82.67,11.61
bilma,67,Niger,1562384748,29,18.69,18.69,89.51,8.59
diffa,94,Niger,1562384748,47,13.32,13.32,87.71,10.49
madarounfa,100,Niger,1562384749,60,13.3,13.3,80.51,10.87
asau,,Tuvalu,,,,,,
lolua,,Tuvalu,,,,,,
bethel,40,United States,1562384404,54,60.79,60.79,84.2,13.87
kodiak,1,United States,1562384517,78,39.95,39.95,78.01,2.84
hilo,90,United States,1562384517,65,19.71,19.71,82.4,13.87
kapaa,1,United States,1562384345,74,22.08,22.08,82.4,6.93
saint pete beach,1,United States,1562384749,78,27.73,27.73,82.99,3.36
ahuimanu,90,United States,1562384749,83,21.44,21.44,84.2,9.17
barrow,0,United States,1562384517,64,-38.31,-38.31,33.53,8.37
mount pleasant,1,United States,1562384750,83,33.16,33.16,81,3.65
jacksonville,1,United States,1562384586,94,30.33,30.33,77,1.74
valley,0,United States,1562384750,93,47.9,47.9,61,1.12
wenatchee,1,United States,1562384479,56,47.42,47.42,73,20.8
kihei,40,United States,1562384750,55,20.76,20.76,87.8,11.41
fairbanks,1,United States,1562384485,32,64.84,64.84,82.4,6.93
fortuna,90,United States,1562384518,82,40.6,40.6,61,9.17
pacific grove,90,United States,1562384750,82,36.62,36.62,66.99,9.17
artesia,1,United States,1562384751,27,32.84,32.84,93.2,21.92
douglas,1,United States,1562384751,37,58.28,58.28,82.4,4.7
kenai,1,United States,1562384751,67,60.55,60.55,73.99,12.75
lompoc,90,United States,1562384518,87,34.64,34.64,64.99,9.17
sitka,55,United States,1562384520,84,37.17,37.17,66.83,33.87
elizabeth city,1,United States,1562384751,83,36.3,36.3,80.6,5.82
eloy,1,United States,1562384751,12,32.76,32.76,100,11.41
gillette,1,United States,1562384752,82,44.29,44.29,60.01,3.36
mountain home,1,United States,1562384752,16,43.13,43.13,86,9.17
cortez,1,United States,1562384752,34,37.35,37.35,68,3.36
homer,1,United States,1562384752,56,59.64,59.64,73.99,9.17
virginia beach,75,United States,1562384238,78,36.85,36.85,81,6.93
safford,20,United States,1562384752,29,32.83,32.83,87.8,13.87
bossier city,1,United States,1562384752,88,32.52,32.52,82.4,4.7
sterling,75,United States,1562384753,78,39,39,81,5.84
nome,1,United States,1562384403,100,30.04,30.04,82.99,5.79
nantucket,90,United States,1562384518,94,41.28,41.28,73.99,6.93
mason city,1,United States,1562384753,100,43.15,43.15,75.2,3.36
kahului,40,United States,1562384401,55,20.89,20.89,87.8,11.41
freeport,69,United States,1562384721,75,26.54,26.54,84.47,14.29
north bend,90,United States,1562384753,82,43.41,43.41,62.01,6.93
astoria,90,United States,1562384753,77,46.19,46.19,63,4.7
college,1,United States,1562384754,32,64.86,64.86,82.99,6.93
winslow,0,United States,1562384754,82,51.94,51.94,60.8,8.05
magnolia,12,United States,1562384754,88,33.27,33.27,80.6,3.69
ketchikan,20,United States,1562384404,41,55.34,55.34,78.8,13.87
rikitea,100,French Polynesia,1562384516,71,-23.12,-23.12,68.27,24.38
mataura,43,French Polynesia,1562384409,79,-46.19,-46.19,51.01,8.01
atuona,18,French Polynesia,1562384318,80,-9.8,-9.8,81.23,20.13
fare,69,French Polynesia,1562384517,81,-16.7,-16.7,76.55,24.2
faanui,95,French Polynesia,1562384516,81,-16.48,-16.48,76.91,22.55
moerai,50,French Polynesia,1562384755,71,-22.43,-22.43,69.71,28.61
avera,1,French Polynesia,1562384516,94,33.19,33.19,75.99,5.82
necochea,1,Argentina,1562384755,86,-38.55,-38.55,39,1.01
ushuaia,40,Argentina,1562384530,86,-54.81,-54.81,37.4,24.16
mar del plata,33,Argentina,1562384530,82,-46.43,-46.43,39.47,13.24
tucuman,0,Argentina,1562384755,51,-17.17,-17.17,47.75,1.57
rawson,0,Argentina,1562384398,68,-43.3,-43.3,40.01,10.74
comodoro rivadavia,0,Argentina,1562384755,61,-45.87,-45.87,50,19.46
san juan,0,Argentina,1562384547,72,-31.54,-31.54,34.79,1.12
boden,100,Sweden,1562384756,93,65.83,65.83,50,12.75
varberg,100,Sweden,1562384558,81,57.11,57.11,55.99,6.93
vaini,90,Tonga,1562384342,88,15.34,15.34,73.4,17.22
heihe,75,China,1562384756,100,50.24,50.24,64.4,6.71
dalian,0,China,1562384756,63,19.86,19.86,91.4,4.47
juegang,0,China,1562384756,62,32.31,32.31,93,1.01
guangyuan,100,China,1562384756,69,32.43,32.43,86,2.48
jiuquan,100,China,1562384757,25,39.73,39.73,76.37,13.98
dali,0,China,1562384757,23,34.79,34.79,83.39,11.07
choucheng,,China,,,,,,
benxi,75,China,1562384757,45,41.29,41.29,82.4,6.71
xinmin,75,China,1562384757,45,42,42,82.4,6.71
loudi,49,China,1562384757,66,27.73,27.73,86.27,7.34
dashitou,100,China,1562384757,70,43.3,43.3,75.11,9.55
guilin,90,China,1562384758,94,25.28,25.28,78.8,4.47
aksu,0,China,1562384758,50,52.04,52.04,77,11.18
hami,100,China,1562384400,27,42.84,42.84,83.57,13.65
beian,75,China,1562384758,93,63.66,63.66,48.2,2.24
yanji,98,China,1562384758,71,42.89,42.89,69.89,7.87
chaohu,0,China,1562384758,59,31.63,31.63,89.6,6.71
yongan,27,China,1562384759,33,39.7,39.7,69.53,13.27
maoming,100,China,1562384541,68,21.67,21.67,88.97,10.49
korla,,China,,,,,,
yumen,100,China,1562384759,23,40.29,40.29,80.69,23.53
jingdezhen,83,China,1562384759,80,29.29,29.29,81.95,4.83
dafeng,24,China,1562384759,45,33.2,33.2,87.17,10.51
lasa,0,China,1562384542,68,34.92,34.92,73.4,6.93
datong,0,China,1562384760,31,40.09,40.09,65.21,17.85
wuxue,6,China,1562384760,62,29.85,29.85,88.25,4.59
mullaitivu,,Sri Lanka,,,,,,
hambantota,75,Sri Lanka,1562384760,84,6.12,6.12,86,14.99
trincomalee,55,Sri Lanka,1562384760,55,8.58,8.58,87.35,9.84
batticaloa,100,Sri Lanka,1562384761,58,7.71,7.71,84.83,3.15
faya,0,Chad,1562384761,37,18.39,18.39,71.6,1.45
am timan,100,Chad,1562384761,80,11.04,11.04,72.95,5.19
oum hadjer,80,Chad,1562384761,57,13.3,13.3,84.29,8.39
guayaramerin,51,Bolivia,1562384761,61,-10.82,-10.82,70.07,8.25
tupiza,2,Bolivia,1562384761,12,-21.44,-21.44,39.11,6.67
mapiri,100,Bolivia,1562384761,99,-15.31,-15.31,49.55,3.15
tagusao,75,Philippines,1562384762,70,9.19,9.19,83.21,6.35
sarangani,38,Philippines,1562384762,75,5.4,5.4,81.05,0.47
san vicente,90,Philippines,1562384762,88,-0.59,-0.59,73.4,9.17
laiya,20,Philippines,1562384762,62,-5.07,-5.07,86,3.36
san policarpo,76,Philippines,1562384417,72,12.18,12.18,84.29,9.75
pundaguitan,74,Philippines,1562384762,75,6.37,6.37,81.77,3.42
sulangan,38,Philippines,1562384763,70,11.14,11.14,84.11,5.06
cortes,84,Philippines,1562384763,73,9.28,9.28,83.03,5.75
olafsvik,,Iceland,,,,,,
grindavik,0,Iceland,1562384454,93,63.84,63.84,46.4,6.93
hofn,3,Iceland,1562384454,82,64.25,64.25,36.05,14.97
husavik,100,Iceland,1562384763,44,50.56,50.56,63,6.78
vestmannaeyjar,0,Iceland,1562384365,83,63.44,63.44,52.97,6.62
yellowknife,75,Canada,1562384510,72,62.45,62.45,64.4,8.05
torbay,90,Canada,1562384511,93,47.66,47.66,52,3.36
tuktoyaktuk,90,Canada,1562384292,87,69.44,69.44,51.8,25.28
thompson,40,Canada,1562384290,59,55.74,55.74,62.6,2.24
sioux lookout,90,Canada,1562384764,51,50.1,50.1,60.8,5.82
shellbrook,75,Canada,1562384764,63,53.22,53.22,60.8,3.36
bay roberts,90,Canada,1562384764,93,47.58,47.58,52,3.36
havre-saint-pierre,75,Canada,1562384384,87,50.23,50.23,59,5.82
attawapiskat,,Canada,,,,,,
port hardy,90,Canada,1562384764,77,50.7,50.7,60.8,10.29
burns lake,36,Canada,1562384764,53,54.23,54.23,62.87,4.74
geraldton,75,Canada,1562384511,42,49.72,49.72,66.2,6.93
clyde river,90,Canada,1562384512,100,70.47,70.47,35.6,9.17
meadow lake,54,Canada,1562384765,69,54.13,54.13,59.45,3.11
hay river,75,Canada,1562384383,56,60.82,60.82,68,5.82
quesnel,20,Canada,1562384704,63,52.98,52.98,64.4,5.82
iqaluit,90,Canada,1562384294,100,63.75,63.75,37.4,9.17
the pas,1,Canada,1562384765,55,53.82,53.82,62.6,5.26
norman wells,75,Canada,1562384372,56,65.28,65.28,71.6,3.36
stephenville crossing,20,Canada,1562384765,82,48.5,48.5,59,4.7
bonavista,2,Canada,1562384765,83,48.65,48.65,46.99,4
flin flon,30,Canada,1562384383,42,54.77,54.77,61.25,3.53
melita,0,Canada,1562384766,82,49.27,49.27,63,7.11
rosetown,100,Canada,1562384766,83,51.55,51.55,59,1.99
mayo,40,Canada,1562384383,28,63.59,63.59,80.6,12.75
haines junction,95,Canada,1562384766,46,60.75,60.75,72.77,2.13
shelburne,20,Canada,1562384767,88,44.08,44.08,78.01,4.76
peachland,90,Canada,1562384767,93,49.77,49.77,60.01,2.24
saint-augustin,75,Canada,1562384767,94,45.63,45.63,79,5.32
cap-aux-meules,100,Canada,1562384767,82,47.38,47.38,62.69,5.64
aklavik,90,Canada,1562384512,76,68.22,68.22,57.2,13.87
thessalon,1,Canada,1562384767,88,46.26,46.26,64.4,4.7
jamestown,38,Saint Helena,1562384410,55,-33.21,-33.21,65.57,17.27
